,Unnamed: 0.1,Unnamed: 0,Trip,total_distance,timestamp,longitude_min,latitude_min,longitude_max,latitude_max,start_lat,end_lat,start_long,end_long,start_altitude,end_altitude,slope,delta_altitude
296,296,296,2034,11020.109431944264,550000,-83.7434002778,42.2867005556,-83.7050875,42.2956425,42.2867761111,42.2954177778,-83.7434002778,-83.7050875,243.9296875,259.116729736,0.01378122127693379,15.187042236000025
297,297,297,2035,5178.678722550104,434300,-83.7509513889,42.2826366667,-83.7190783333,42.2897202778,42.2874083333,42.2826366667,-83.7190783333,-83.7509513889,244.242141724,245.595306396,0.002612953594324397,1.3531646720000197
298,298,298,2038,2910.2734397207823,144800,-83.7491797222,42.2436711111,-83.7276119444,42.2459305556,42.2459305556,42.2446002778,-83.7491608333,-83.7276119444,267.399719238,252.17868042,-0.0523017761587122,-15.221038817999982
299,299,299,2040,16573.84829446146,478000,-83.7041602778,42.3026469444,-83.6771741667,42.3093311111,42.3093311111,42.3026844444,-83.6771741667,-83.7041602778,276.489654541,275.828643799,-0.0003988275569932536,-0.6610107419999736
300,300,300,2051,11170.255123583356,689800,-83.7248875,42.2440638889,-83.6758733333,42.3089994444,42.2466361111,42.3089994444,-83.7248875,-83.6781519444,250.204772949,275.630004883,0.022761608858094737,25.42523193400004
301,301,301,2052,12086.62757771099,784400,-83.7813608333,42.28074,-83.6776630556,42.3243066667,42.309585,42.28074,-83.6776630556,-83.780445,276.457733154,286.790924072,0.008549278636935895,10.333190918000014
302,302,302,2066,6034.377251686921,516000,-83.7462733333,42.2533511111,-83.7284694444,42.2795722222,42.2795722222,42.2533511111,-83.7460094444,-83.7284694444,259.519134521,251.849197388,-0.012710414030581946,-7.669937133000019
303,303,303,2071,9726.604461738883,475400,-83.7715477778,42.2521797222,-83.7281991667,42.2680383333,42.2680383333,42.2521797222,-83.7715477778,-83.7281991667,285.381988525,251.356216431,-0.03498238303543197,-34.02577209399999
304,304,304,2079,11322.99293537804,783400,-83.7504602778,42.2802777778,-83.7029633333,42.2947538889,42.2803516667,42.2947538889,-83.7500127778,-83.7044505556,253.220809937,257.694671631,0.00395113029633584,4.473861693999993
305,305,305,2092,13889.286103552087,1919500,-83.7286908333,42.2521783333,-83.6769891667,42.307195,42.307195,42.2521783333,-83.6770544444,-83.728215,269.897766113,251.316223145,-0.013378340296310999,-18.58154296799998
306,306,306,2095,3666.9994724478233,152100,-83.7510861111,42.2549866667,-83.749955,42.2697280556,42.2549866667,42.2697280556,-83.7510861111,-83.7499819444,283.955200195,263.266479492,-0.05641956082643797,-20.688720703
307,307,307,2099,7087.971849382691,473400,-83.751265,42.2783172222,-83.7192816667,42.2897819444,42.2874852778,42.2783172222,-83.7192816667,-83.751265,243.668640137,246.741027832,0.004334650375207096,3.072387694999975
308,308,308,2102,5783.030142129464,541100,-83.7473433333,42.2780544444,-83.7034230556,42.2945869444,42.2781552778,42.2945869444,-83.7473433333,-83.7047166667,258.14276123,257.966003418,-0.00030564912811864266,-0.1767578120000053
309,309,309,2105,13375.072905298404,543900,-83.7510591667,42.2796913889,-83.6928977778,42.3051383333,42.2955194444,42.3027819444,-83.7048708333,-83.7038608333,258.910217285,275.789337158,0.012619843968992728,16.879119873000036
310,310,310,2106,2942.323915536824,160300,-83.7039061111,42.3026116667,-83.677695,42.3093455556,42.3026116667,42.3092416667,-83.7039061111,-83.677695,275.759674072,276.135009766,0.0012756437014698205,0.37533569400000033
311,311,311,2107,5699.663099642834,531900,-83.7433911111,42.2868216667,-83.7033686111,42.2951,42.2868216667,42.2951,-83.7433911111,-83.7045444444,243.809417725,258.55657959,0.02587382968065665,14.74716186500001
312,312,312,2111,4517.7320050789285,251200,-83.7405333333,42.25481,-83.7254988889,42.2707833333,42.25481,42.2707833333,-83.7254988889,-83.7405333333,255.905288696,254.25567627,-0.0036514174238658705,-1.6496124260000045
313,313,313,2112,3152.855492848602,336700,-83.7512566667,42.2438591667,-83.7492233333,42.2727875,42.2727875,42.2438591667,-83.7493094444,-83.749245,251.404663086,269.633880615,0.05781908582054691,18.22921752900001
314,314,314,2115,4923.986918355666,282800,-83.7501994444,42.2522316667,-83.7280963889,42.2643605556,42.2643605556,42.2522316667,-83.7501994444,-83.7280963889,271.398590088,251.292922974,-0.04083242920074655,-20.105667114
315,315,315,2121,2097.590976150954,247900,-83.7494788889,42.2716325,-83.7346141667,42.2726708333,42.2726708333,42.2720177778,-83.7494294444,-83.7346141667,251.82975769,262.565490723,0.05118192140502187,10.735733032999974
316,316,316,2125,9012.54912660175,1096100,-83.7509797222,42.2569180556,-83.7268725,42.2981669444,42.2569180556,42.2831672222,-83.7268725,-83.7509761111,255.233505249,242.696182251,-0.013910975632636517,-12.53732299799998
317,317,317,2128,6073.637122747466,451800,-83.7456311111,42.2812047222,-83.7322983333,42.3003525,42.2812047222,42.2983136111,-83.7456311111,-83.7322983333,258.047363281,251.068908691,-0.011489753265215242,-6.978454590000013
318,318,318,2131,2421.3037219155226,452600,-83.7443286111,42.2646036111,-83.7333019444,42.2896583333,42.2646036111,42.2896583333,-83.7333019444,-83.7384902778,256.338470459,237.776535034,-0.0766631658548815,-18.561935425
319,319,319,2133,7504.274365094161,527400,-83.7448758333,42.2780166667,-83.7032225,42.2952125,42.2780166667,42.2952125,-83.7444158333,-83.7047241667,263.880981445,258.792755127,-0.00678043904059144,-5.088226317999954
320,320,320,2135,10540.535973443097,1475700,-83.7440216667,42.2608688889,-83.676915,42.3090486111,42.2608688889,42.3071088889,-83.72964,-83.676915,254.913848877,269.766998291,0.014091469540380628,14.853149414
321,321,321,2142,11956.76660499978,1593200,-83.7512136111,42.2551113889,-83.7272786111,42.2980558333,42.2571002778,42.2551113889,-83.7272786111,-83.7512136111,254.955673218,284.155761719,0.02442146488372882,29.20008850100001
322,322,322,2143,10083.559781501292,574700,-83.7472947222,42.2777330556,-83.7033027778,42.2951905556,42.2778552778,42.2951905556,-83.7472947222,-83.7046036111,258.331359863,258.707366943,0.00037289120946279073,0.37600708000002214
323,323,323,2144,5215.202713605841,366500,-83.7509716667,42.2817841667,-83.7188130556,42.2897558333,42.287435,42.2817841667,-83.7188130556,-83.7509716667,245.193389893,248.081710815,0.005538272476780758,2.8883209220000197
324,324,324,2146,8743.238354306337,849300,-83.7503775,42.2540483333,-83.6762619444,42.2727619444,42.2727619444,42.2591702778,-83.7495580556,-83.6762619444,251.433258057,235.049423218,-0.018738896208307557,-16.383834839000002
325,325,325,2150,11956.910045618528,644100,-83.7410925,42.2802416667,-83.7031161111,42.2949847222,42.2802416667,42.2949847222,-83.7409661111,-83.7046011111,266.339996338,258.510742188,-0.006547892221754156,-7.829254149999997
326,326,326,2154,2747.3086753368584,170300,-83.7389008333,42.2343736111,-83.7279630556,42.2443852778,42.2343736111,42.2443852778,-83.7388438889,-83.7279630556,256.925872803,252.798461914,-0.015023486745190174,-4.127410889000004
327,327,327,2158,13358.356353469691,1596300,-83.7443536111,42.2499708333,-83.6780394444,42.3091194444,42.2499708333,42.3091194444,-83.7254158333,-83.6780394444,251.236633301,275.872497559,0.01844231842730147,24.635864257999998
328,328,328,2161,12654.2492980466,150700,-83.7990602778,42.2726222222,-83.7802469444,42.2738644444,42.2729386111,42.2733844444,-83.7990602778,-83.7802469444,296.801208496,294.233764648,-0.0020289183817809773,-2.567443848000039
329,329,329,2164,2081.640796219675,633000,-83.7509483333,42.2293136111,-83.7391227778,42.2738972222,42.2736077778,42.2293136111,-83.7509483333,-83.7392552778,250.692840576,253.672744751,0.014315184606715345,2.9799041750000015
330,330,330,2165,5055.0996554370695,162000,-83.7671769444,42.2423077778,-83.7511441667,42.2548722222,42.2548722222,42.2423077778,-83.7511441667,-83.7671769444,283.733612061,279.255065918,-0.008859465106273083,-4.47854614299996
331,331,331,2170,1335.6311492826123,229800,-83.7084127778,42.2577963889,-83.7006883333,42.2684983333,42.2684102778,42.2577963889,-83.7075,-83.7006883333,258.556213379,254.047851562,-0.033754734629260034,-4.5083618169999795
332,332,332,2175,7639.263391922433,424900,-83.7382716667,42.2865911111,-83.7030122222,42.2951294444,42.2896438889,42.2951294444,-83.7382716667,-83.7045169444,237.477905273,258.616699219,0.027671352317115563,21.138793945999993
333,333,333,2176,13950.3924946135,555400,-83.7765497222,42.2532341667,-83.72829,42.2741108333,42.2741108333,42.2532838889,-83.7765497222,-83.72829,285.032714844,252.172302246,-0.02355525392820253,-32.86041259800001
334,334,334,2178,9177.025231611804,1025400,-83.7443702778,42.2718394444,-83.6771177778,42.3091444444,42.2718394444,42.307205,-83.7415580556,-83.6771177778,256.035858154,269.791320801,0.014989038116506584,13.755462647000002
335,335,335,2180,5232.801310715941,172700,-83.7509480556,42.2803088889,-83.7437866667,42.2869263889,42.2869263889,42.2803088889,-83.7437866667,-83.7509327778,242.320907593,247.597122192,0.010082968887543179,5.2762145990000135
336,336,336,2188,15279.51303666874,1546600,-83.7443497222,42.2566869444,-83.6776822222,42.3092113889,42.2566869444,42.3092113889,-83.7271894444,-83.6776822222,254.505859375,276.166168213,0.014176060814478435,21.66030883799999
337,337,337,2189,1757.1348059961226,113400,-83.6927322222,42.3050280556,-83.6773441667,42.3093197222,42.3093197222,42.3050280556,-83.6773441667,-83.6927322222,276.433319092,276.844299316,0.0023389226247128255,0.41098022400001355
338,338,338,2196,10249.828515130375,1336500,-83.7510052778,42.2568669444,-83.7270241667,42.2980116667,42.2568669444,42.2817069444,-83.7270241667,-83.7510052778,254.995651245,248.012054443,-0.006813380743550046,-6.983596801999994
339,339,339,2200,1063.4751010238151,94000,-83.7401919444,42.2718677778,-83.7346536111,42.2721566667,42.2718677778,42.2720836111,-83.7401919444,-83.7346536111,259.838256836,262.619140625,0.0261491152337997,2.7808837889999722
340,340,340,2202,2252.167765626805,69000,-83.7393741667,42.2427125,-83.7348025,42.2441777778,42.2441777778,42.2427125,-83.7348025,-83.7393625,256.964996338,261.486633301,0.020076861701499454,4.521636962999992
341,341,341,2207,15274.282431692904,636400,-83.7509866667,42.2818036111,-83.6772466667,42.3090986111,42.3090986111,42.2818036111,-83.6772802778,-83.7509866667,275.880889893,247.99597168,-0.0182561536400075,-27.88491821300002
342,342,342,2208,3168.1883989502203,679800,-83.7499844444,42.2532766667,-83.7284177778,42.27392,42.27392,42.2532766667,-83.7489447222,-83.7284177778,249.510147095,251.816146851,0.007278608707745922,2.3059997560000056
343,343,343,2213,5875.871879922423,401100,-83.7433497222,42.2845727778,-83.7031447222,42.2945636111,42.2845727778,42.2945636111,-83.7432141667,-83.7044877778,255.585769653,257.602172852,0.0034316665831656042,2.016403199000024
344,344,344,2214,1654.6414751634477,75800,-83.7349833333,42.2440038889,-83.7274741667,42.24616,42.2440038889,42.24616,-83.7349833333,-83.7281152778,256.671875,251.539978027,-0.03101530895422233,-5.131896973000011
345,345,345,2219,11002.225546402942,289900,-83.8015111111,42.2727827778,-83.78596,42.2851825,42.2727827778,42.2851716667,-83.78596,-83.8015111111,296.422729492,282.799133301,-0.012382591665631796,-13.62359619099999
346,346,346,2220,10606.733154108617,2344300,-83.8018866667,42.2434922222,-83.7489641667,42.2847516667,42.2847516667,42.2473194444,-83.8018866667,-83.7611041667,282.22668457,279.047668457,-0.002997168128580985,-3.1790161129999888
347,347,347,2233,17828.14684809008,523900,-83.7483244444,42.2850427778,-83.6769805556,42.3240977778,42.3095469444,42.2850427778,-83.6769805556,-83.7483194444,276.374908447,247.762435913,-0.016049065349701068,-28.612472534000005
348,348,348,2237,11183.171181353842,2049800,-83.74633,42.2322452778,-83.7343311111,42.2980455556,42.2709380556,42.2322452778,-83.7406725,-83.7392194444,254.428604126,255.501495361,0.0009593801458805905,1.072891234999986
